Q	a	r
q14	0	0
q14	2	0
q21	3	0
q14	3	0
q14	2	0
q14	0	0
q14	2	0
q21	2	0
q21	0	0
q21	1	0
q21	3	0
q21	3	0
q14	0	0
q14	3	0
q14	1	0
q14	4	0
q14	3	0
q13	0	0
q13	1	0
q13	3	0
q13	0	0
q13	1	300
q13	0	0
q13	4	300
q13	0	300
q13	0	0
q13	4	0
q13	1	0
q13	4	0
q13	2	0
q13	4	300
q13	1	300
q13	1	0
q13	0	0
q13	4	0
q13	1	0
q13	0	0
q13	0	0
q13	2	300
q14	3	0
q13	3	300
q13	4	0
q13	1	0
q13	3	300
q13	0	0
q13	3	0
q13	0	0
q13	1	0
q13	3	0
q13	2	0
q13	3	0
q13	0	0
q13	1	0
q13	4	0
q13	3	0
q13	1	0
q13	2	0
q13	2	0
q13	3	0
q13	2	0
q13	0	0
q13	2	0
q13	2	0
q13	3	0
q13	4	0
q13	4	0
q13	0	0
q13	0	0
q13	4	0
q13	3	0
q13	2	0
q13	1	0
q13	0	0
q13	4	0
q13	2	0
q13	1	0
q13	2	0
q13	3	0
q13	0	0
q13	2	0
q13	3	0
q13	0	0
q20	2	0
q20	2	0
q20	3	0
q20	4	0
q20	2	0
q20	1	0
q18	2	0
q19	1	300
q17	1	0
q14	2	0
q21	1	0
q21	3	0
q14	3	0
q14	0	0
q14	2	0
q14	0	0
q17	4	0
q17	3	0
q15	1	300
q14	2	0
q14	1	0
q14	4	0
q14	0	0
q14	4	0
q14	4	0
q14	0	0
q17	2	0
q21	2	0
q21	1	0
q21	4	0
q21	3	0
q21	3	0
q14	1	0
q14	3	0
q14	3	0
q13	1	0
q13	4	0
q13	0	0
q13	4	0
q13	4	0
q13	2	0
q14	3	0
q13	1	0
q13	1	0
q13	0	0
q13	0	0
q13	1	0
q13	4	0
q13	0	0
q13	3	0
q13	2	300
q13	2	0
q14	1	0
q14	0	0
q14	1	0
q14	4	0
q14	0	0
q14	2	0
q14	1	0
q14	4	0
q14	0	0
q14	2	0
q21	4	0
q21	3	0
q14	2	0
q21	3	0
q14	4	0
q14	1	0
q14	0	0
q14	0	0
q14	4	0
q14	1	0
q14	1	0
q14	2	0
q21	4	0
q21	3	0
q14	3	0
q14	1	0
q14	2	0
q14	0	0
q14	3	0
q14	3	0
q13	0	0
q13	4	0
q13	4	0
q13	2	0
q14	2	0
q14	0	0
q14	3	0
q14	3	0
q13	1	300
q13	0	0
q13	0	300
q13	1	0
q13	1	300
q13	0	0
q13	2	300
q14	1	0
q14	2	0
q14	2	0
q21	4	0
q21	3	0
q14	3	0
q14	4	0
q14	0	0
q14	1	0
q14	3	0
q13	3	0
q13	2	300
q13	1	0
q13	1	0
q13	2	0
q14	3	0
q13	2	0
q14	2	0
q14	4	0
q14	4	0
q14	1	0
q14	1	0
q14	3	0
q14	4	0
q14	1	0
q14	3	0
q13	1	0
q12	3	0
q12	1	0
q12	1	0
q12	1	0
q12	2	0
q12	4	0
q12	1	0
q12	2	0
q12	3	0
q12	3	0
q12	3	0
q12	3	0
q12	2	0
q12	4	0
q12	4	0
q12	3	0
q12	2	0
q12	4	0
q12	3	0
q12	4	0
q12	2	0
q12	4	0
q12	1	0
q12	4	0
q12	3	0
q12	3	0
q12	4	0
q12	3	0
q12	0	0
q12	1	0
q12	4	0
q12	4	0
q12	3	0
q12	4	0
q12	4	0
q12	2	0
q12	2	0
q12	4	0
q12	3	0
q12	4	0
q12	0	0
q12	3	0
q12	1	0
q12	4	0
q12	1	0
q12	4	0
q12	0	0
q12	4	0
q12	4	0
q12	2	0
q12	3	0
q12	2	0
q12	0	0
q12	3	0
q12	4	0
q12	0	0
q12	4	0
q12	1	0
